price,price_sqft,bhk,location,total_sqft,floor_num
16,3765,1,"Vejalpur, Jivraj park Ahmedabad",425,2
24,4800,1,"Vejalpur, Jivraj park Ahmedabad",500,3
40,5487,1,"Vejalpur, Jivraj park Ahmedabad",729,1
16,3200,1,"Vejalpur, Jivraj park Ahmedabad",500,2
20,5000,1,"Vejalpur, Jivraj park Ahmedabad",400,2
26,5451,1,"Vejalpur, Jivraj park Ahmedabad",477,3
43.2,5000,2,Maninagar Ahmedabad,604,0
47,4352,2,Maninagar Ahmedabad,1080,1
51,5667,2,Maninagar Ahmedabad,900,1
30,3750,2,Maninagar Ahmedabad,800,3
50,3704,2,Maninagar Ahmedabad,1350,1
46,4259,2,Maninagar Ahmedabad,1080,1
52,5400,2,Maninagar Ahmedabad,674,0
55,3667,2,Maninagar Ahmedabad,1500,2
51,5667,2,Maninagar Ahmedabad,900,1
66,6490,2,Maninagar Ahmedabad,1017,3
20,2551,2,Naroda Ahmedabad,784,2
42,4667,2,Naroda Ahmedabad,900,4
37,2960,2,Naroda Ahmedabad,1250,2
20,2273,2,Naroda Ahmedabad,880,2
35,5000,2,Naroda Ahmedabad,700,2
44,3761,2,Naroda Ahmedabad,1170,2
4.25,9463,5,"Sankalp Grace 3, Shilaj Ahmedabad",2694,12
4.21,7478,5,"Sankalp Grace 3, Shilaj Ahmedabad",3400,12
4.5,10000,5,"Sankalp Grace 3, Shilaj Ahmedabad",2500,5
4.25,9548,5,"Sankalp Grace 3, Shilaj Ahmedabad",3200,12
4.29,7001,5,"Sankalp Grace 3, Shilaj Ahmedabad",4729,12
4.59,7500,5,"Sankalp Grace 3, Shilaj Ahmedabad",3658,1
5.2,8500,5,"Sankalp Grace 3, Shilaj Ahmedabad",3370,13
4.5,10000,5,"Sankalp Grace 3, Shilaj Ahmedabad",2500,5
5.8,9465,5,"Sankalp Grace 3, Shilaj Ahmedabad",6128,12
5.98,7577,5,"Sankalp Grace 3, Shilaj Ahmedabad",4400,12
2.1,7202,4,"AKSHAR OCEAN PEARL, Ambli Ahmedabad",1670,6
2,6859,4,"AKSHAR OCEAN PEARL, Ambli Ahmedabad",2916,9
2.34,7091,4,"AKSHAR OCEAN PEARL, Ambli Ahmedabad",2100,8
1.98,6800,4,"AKSHAR OCEAN PEARL, Ambli Ahmedabad",1604,3
3.4,8293,4,"AKSHAR OCEAN PEARL, Ambli Ahmedabad",2520,1
2.96,8747,4,"AKSHAR OCEAN PEARL, Ambli Ahmedabad",2520,1
2.87,8500,4,"AKSHAR OCEAN PEARL, Ambli Ahmedabad",3384,11
2.63,7800,4,"AKSHAR OCEAN PEARL, Ambli Ahmedabad",1861,9
45,4505,2,"Aaryan Gloria, South Bopal, Bopal Ahmedabad",999,1
45,4505,2,"Aaryan Gloria, South Bopal, Bopal Ahmedabad",999,3
56,4444,2,"Aaryan Gloria, South Bopal, Bopal Ahmedabad",600,2
52,5205,2,"Aaryan Gloria, South Bopal, Bopal Ahmedabad",999,4
98.5,5010,3,"Adani Archway, Jagatpur Ahmedabad",1070,0
1.11,5754,3,"Adani Archway, Jagatpur Ahmedabad",1061,8
1.35,5374,4,"Adani Archway, Jagatpur Ahmedabad",1382,5
1.17,6065,3,"Adani Archway, Jagatpur Ahmedabad",1063,2
1.5,5971,4,"Adani Archway, Jagatpur Ahmedabad",2512,13
1.2,6198,3,"Adani Archway, Jagatpur Ahmedabad",1936,6
1.45,5772,4,"Adani Archway, Jagatpur Ahmedabad",1381,9
1.12,5785,3,"Adani Archway, Jagatpur Ahmedabad",1070,10
1.13,5837,3,"Adani Archway, Jagatpur Ahmedabad",1936,5
1.06,5475,3,"Adani Archway, Jagatpur Ahmedabad",1066,11
2.55,7846,4,"Adani Shantigram Waterlily, Sarkhej Gandhinagar Highway Ahmedabad",3250,6
3,8219,4,"Adani Shantigram Waterlily, Sarkhej Gandhinagar Highway Ahmedabad",3650,6
2.75,7534,4,"Adani Shantigram Waterlily, Sarkhej Gandhinagar Highway Ahmedabad",3650,3
3,9231,4,"Adani Shantigram Waterlily, Sarkhej Gandhinagar Highway Ahmedabad",3250,7
2.9,7945,4,"Adani Shantigram Waterlily, Sarkhej Gandhinagar Highway Ahmedabad",3650,3
2.85,8769,4,"Adani Shantigram Waterlily, Sarkhej Gandhinagar Highway Ahmedabad",3250,6
3.3,9041,4,"Adani Shantigram Waterlily, Sarkhej Gandhinagar Highway Ahmedabad",2190,15
4.8,7742,5,"Adani Shantigram Waterlily, Sarkhej Gandhinagar Highway Ahmedabad",3410,16
2.95,8082,4,"Adani Shantigram Waterlily, Vaishnodevi Circle Ahmedabad",2400,3
2.75,7746,4,"Adani Shantigram Waterlily, Vaishnodevi Circle Ahmedabad",2490,7
3,8242,4,"Adani Shantigram Waterlily, Vaishnodevi Circle Ahmedabad",2184,0
2.9,8169,4,"Adani Shantigram Waterlily, Vaishnodevi Circle Ahmedabad",2350,12
3,8219,4,"Adani Shantigram Waterlily, Vaishnodevi Circle Ahmedabad",2190,4
2.76,7562,4,"Adani Shantigram Waterlily, Vaishnodevi Circle Ahmedabad",2462,8
3,8219,4,"Adani Shantigram Waterlily, Vaishnodevi Circle Ahmedabad",2420,2
3.5,7393,5,"Adani Shantigram Waterlily, Vaishnodevi Circle Ahmedabad",4734,16
3,8451,4,"Adani Shantigram Waterlily, Vaishnodevi Circle Ahmedabad",2308,8
90,6429,2,"Adani The Meadows, Vaishnodevi Circle Ahmedabad",840,0
1.21,6667,3,"Adani The Meadows, Vaishnodevi Circle Ahmedabad",1815,12
1.6,7018,3,"Adani The Meadows, Vaishnodevi Circle Ahmedabad",1500,11
1.5,6579,3,"Adani The Meadows, Vaishnodevi Circle Ahmedabad",1368,0
1.2,6486,3,"Adani The Meadows, Vaishnodevi Circle Ahmedabad",1020,7
1.11,6122,3,"Adani The Meadows, Vaishnodevi Circle Ahmedabad",1815,12
1.5,6579,3,"Adani The Meadows, Vaishnodevi Circle Ahmedabad",1456,17
37,3114,2,Ahmedabad,800,4
42,5833,2,Ahmedabad,720,1
26,3250,1,Ahmedabad,800,3
22,2785,2,Ahmedabad,790,5
50,4167,2,Ahmedabad,1000,3
28,3618,1,Ahmedabad,774,2
51,5105,2,Ahmedabad,999,0
50,4274,2,Ahmedabad,990,1
50,3157,3,Ahmedabad,1584,2
48.5,5988,2,Ahmedabad,810,1
75,7500,2,Ahmedabad,800,1
67,6108,2,Ahmedabad,805,4
1,5556,3,Ahmedabad,1647,4
68,4782,3,Ahmedabad,1066,3
1.05,5426,3,Ahmedabad,963,6
65,6878,2,Ahmedabad,945,4
85,3864,3,Ahmedabad,1650,1
50,4167,2,Ahmedabad,1000,3
55,4157,2,Ahmedabad,999,2
72,4444,3,Ahmedabad,1620,3
